year,event,description,dynasty,importance,image_url,category
-2070,夏朝建立,禹建立夏朝，是中国第一个世袭制王朝，开启了中国的封建社会,夏朝,5,xia_dynasty.jpg,政治
-1600,甲骨文出现,商朝时期出现的刻在龟甲和兽骨上的文字，是中国最早的成熟文字系统,商朝,5,oracle_bones.jpg,文化
-1300,盘庚迁殷,商王盘庚迁都至殷（今河南安阳），使商朝进入鼎盛时期,商朝,4,pangeng.jpg,政治
-1046,牧野之战,周武王率军在牧野（今河南淇县）击败商纣王，建立周朝,周朝,5,muye_battle.jpg,军事
-841,国人暴动,周厉王因暴政引发国人暴动，被迫逃往彘地（今陕西岐山），史称"国人暴动",周朝,4,guoren.jpg,政治
-771,犬戎之祸,犬戎攻入镐京（今陕西西安），杀周幽王，周平王东迁洛邑，西周灭亡,周朝,5,quanrong.jpg,军事
-770,东周开始,周平王东迁洛邑（今河南洛阳），开始了东周时期,周朝,4,eastern_zhou.jpg,政治
-685,齐桓公称霸,齐桓公在管仲辅佐下成为春秋五霸之首，开创了春秋时代诸侯争霸的局面,周朝,4,qi_huan.jpg,政治
-632,城濮之战,晋文公率军在城濮（今河南濮阳）击败楚军，确立了晋国在中原的霸主地位,周朝,4,chengpu.jpg,军事
-597,弭兵会盟,晋楚等国在宋国召开会议，约定"弭兵息战"，是春秋时期重要的外交活动,周朝,3,mibing.jpg,政治
-551,孔子诞生,儒家学派创始人孔子出生，对中国传统文化产生了深远影响,周朝,5,confucius.jpg,文化
-506,吴越之争,吴国与越国的长期争斗开始，最终越王勾践卧薪尝胆，灭吴复国,周朝,4,wuyue.jpg,军事
-403,三家分晋,韩赵魏三家分晋，周威烈王正式承认三国,周朝,4,sanjia.jpg,政治
-341,商鞅变法,秦国宰相商鞅推行变法，使秦国走向富强,秦朝,5,shang_yang.jpg,政治
-260,长平之战,秦赵两国在长平（今山西高平）展开大规模决战，秦国歼灭赵军四十万,秦朝,5,changping.jpg,军事
-221,秦统一六国,秦王嬴政（后称秦始皇）完成统一六国大业，建立了中国历史上第一个统一的多民族的中央集权制国家,秦朝,5,qin_unification.jpg,政治
-214,焚书坑儒,秦始皇下令焚烧诸子百家书籍并坑杀儒生，是中国历史上著名的文化灾难,秦朝,4,burning_books.jpg,文化
-210,秦始皇陵兵马俑,秦始皇陵墓中的陶俑军阵，是中国古代辉煌的艺术成就之一,秦朝,4,terracotta_army.jpg,文化
-202,楚汉之争结束,刘邦击败项羽，建立汉朝,西汉,5,chu_han_contention.jpg,军事
-139,张骞出使西域,汉武帝派张骞出使西域，开辟了丝绸之路,西汉,4,zhang_qian.jpg,政治
